selling_price,km_driven,engine,max_power,seats,mileage,name_le,car_age,fuel_CNG,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_Dealer,seller_Individual,seller_Trustmark Dealer,trans_Automatic,trans_Manual,owner_0,owner_1,owner_2,owner_3,owner_4+
450000,1.5994632450220265,-0.41136019652343986,-0.48804355813634953,-0.4272230979590431,1.0002244860014644,1305,-0.04723051445155895,0,1,0,0,0,1,0,0,1,0,1,0,0,0
370000,1.064104958886123,0.09043237380003115,0.3463484052654944,-0.4272230979590431,0.43271492166897074,1605,-0.04723051445155895,0,1,0,0,0,1,0,0,1,0,0,1,0,0
158000,1.4839938107574198,0.08842520351873726,-0.37498231648298314,-0.4272230979590431,-0.43110494616456047,385,1.9380396997270306,0,0,0,1,0,1,0,0,1,0,0,0,1,0
225000,1.211066057041077,-0.11429899489194503,-0.03579859152288394,-0.4272230979590431,0.8997803153231472,781,0.9454045926377358,0,1,0,0,0,1,0,0,1,0,1,0,0,0
130000,1.064104958886123,-0.31100168245874565,-0.08667615026689873,-0.4272230979590431,-0.8328816288778301,1347,1.689880922954707,0,0,0,1,0,1,0,0,1,0,1,0,0,0
440000,-0.51047823563124,-0.5137258808694279,-0.2658782182874846,-0.4272230979590431,0.18160449497317688,693,-0.79170684476853,0,0,0,1,0,1,0,0,1,0,1,0,0,0
96000,2.218799301532189,-0.7867010391253962,-0.9544211799564859,-0.4272230979590431,-0.5315491168428776,1395,1.689880922954707,0,0,1,0,0,1,0,0,1,0,1,0,0,0
45000,-1.3502559393738336,-1.3186011636682755,-1.5338600434299887,-1.4810746693897472,-0.8328816288778301,1063,3.178833583588649,0,0,0,1,0,1,0,0,1,0,0,1,0,0
350000,0.43427168107917785,-0.17852844389334932,-0.6830741999884067,-0.4272230979590431,1.0479354670736656,1906,0.6972458158654121,0,1,0,0,0,1,0,0,1,0,1,0,0,0
200000,2.0928326459708004,-0.10827748404806338,-0.6548088895750651,-0.4272230979590431,0.1464490352357656,286,0.20092826232076474,0,1,0,0,0,1,0,0,1,0,1,0,0,0
500000,-0.027606055979248645,0.016167073392157432,0.4856963856032686,-0.4272230979590431,-0.10215028719306993,1519,-0.04723051445155895,0,1,0,0,0,1,0,0,1,0,0,1,0,0
92000,0.6442161070148262,-0.9231886182533803,-0.8837579039231319,-0.4272230979590431,-0.5315491168428776,1430,2.1861984764993543,0,0,0,1,0,1,0,0,1,0,0,1,0,0
280000,1.4839938107574198,-0.41136019652343986,-0.4908700891776835,-0.4272230979590431,-0.02932826345128992,1307,1.1935633694100596,0,1,0,0,0,1,0,0,1,0,0,1,0,0
200000,0.22432725514352944,-0.41136019652343986,-0.26192107482961674,-0.4272230979590431,-0.02932826345128992,1275,1.689880922954707,0,0,0,1,0,1,0,0,1,0,0,1,0,0
180000,0.43427168107917785,-0.7867010391253962,-0.6859007310297407,-0.4272230979590431,-0.12977243412960798,1397,1.1935633694100596,0,0,0,1,0,1,0,0,1,0,0,1,0,0
400000,-0.6154504485990642,-0.5117187105881341,-0.26192107482961674,-0.4272230979590431,-0.3181052541514534,891,-0.5435480679962064,0,0,0,1,0,1,0,0,1,0,1,0,0,0
778000,0.014382829207881035,-0.41136019652343986,-0.07819655714289633,1.6804800449023651,1.2814681639007537,1193,-0.5435480679962064,0,1,0,0,0,1,0,0,1,0,0,1,0,0
500000,-0.34252269488272125,-0.11429899489194503,-0.03579859152288394,-0.4272230979590431,0.8997803153231472,726,0.44908703909308845,0,1,0,0,0,1,0,0,1,0,0,1,0,0
150000,0.22432725514352944,-1.3186011636682755,-1.2709926565859118,-0.4272230979590431,0.07111590722702726,1102,2.9306748068163255,0,0,0,1,0,1,0,0,1,0,0,1,0,0
680000,0.6442161070148262,-0.11429899489194503,-0.07169553574782765,-0.4272230979590431,0.7842695190430817,733,-0.5435480679962064,0,1,0,0,0,1,0,0,1,0,1,0,0,0
174000,0.6442161070148262,0.016167073392157432,-0.7678701312284315,-0.4272230979590431,0.39755946193155944,1000,0.6972458158654121,0,1,0,0,0,1,0,0,1,0,0,1,0,0
950000,-0.4055060226634158,0.09043237380003115,0.20728307803185364,-0.4272230979590431,1.527556382062632,459,-0.79170684476853,0,1,0,0,0,1,0,0,1,0,1,0,0,0
525000,-0.6154504485990642,-0.41136019652343986,-0.48804355813634953,-0.4272230979590431,1.801266747161047,1315,-0.29538929122388263,0,1,0,0,0,1,0,0,1,0,1,0,0,0
